i j lamda_ij(AA) Aji_E1 fij_E1 S_E1 Aji_E2 Aji_M1 Aji_M2
2 83 3.983E+02 8.174E+04 5.833E-06 7.649E-06 0.000E+00 0.000E+00 0.000E+00
2 84 3.983E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.120E-03
2 85 3.943E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.524E-03
2 87 3.840E+02 1.492E+04 9.899E-07 1.251E-06 0.000E+00 0.000E+00 0.000E+00
2 88 3.840E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 7.800E-05
2 90 3.759E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.133E-03
2 92 3.605E+02 0.000E+00 0.000E+00 0.000E+00 1.366E-02 0.000E+00 0.000E+00
2 93 3.583E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.111E-04 0.000E+00
2 94 3.583E+02 0.000E+00 0.000E+00 0.000E+00 6.223E+01 0.000E+00 0.000E+00
2 96 3.572E+02 0.000E+00 0.000E+00 0.000E+00 7.374E+01 0.000E+00 0.000E+00
2 99 3.525E+02 0.000E+00 0.000E+00 0.000E+00 9.676E+01 0.000E+00 0.000E+00
2 100 3.524E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.199E-04 0.000E+00
2 103 3.454E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.675E-05 0.000E+00
2 105 3.295E+02 3.618E+06 1.767E-04 1.917E-04 0.000E+00 0.000E+00 0.000E+00
2 106 3.295E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.100E-04
2 108 3.287E+02 5.285E+01 2.568E-09 2.779E-09 0.000E+00 0.000E+00 0.000E+00
2 112 3.261E+02 4.024E+06 1.924E-04 2.066E-04 0.000E+00 0.000E+00 0.000E+00
2 115 3.253E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.442E-02
2 120 3.230E+02 0.000E+00 0.000E+00 0.000E+00 6.290E+01 0.000E+00 0.000E+00
2 123 3.213E+02 0.000E+00 0.000E+00 0.000E+00 3.697E-05 0.000E+00 0.000E+00
2 125 3.208E+02 2.416E+05 1.119E-05 1.182E-05 0.000E+00 0.000E+00 0.000E+00
2 126 3.208E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.332E-03
2 127 3.208E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.037E-02
2 132 3.182E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.612E-06 0.000E+00
2 133 3.182E+02 0.000E+00 0.000E+00 0.000E+00 2.276E+01 0.000E+00 0.000E+00
2 135 3.172E+02 0.000E+00 0.000E+00 0.000E+00 4.134E+02 0.000E+00 0.000E+00
2 136 3.172E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.067E-06 0.000E+00
2 140 3.119E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.788E-04 0.000E+00
3 4 3.974E+05 0.000E+00 0.000E+00 0.000E+00 7.654E-10 2.148E-04 0.000E+00
3 5 3.009E+03 0.000E+00 0.000E+00 0.000E+00 2.112E-03 1.187E-02 0.000E+00
3 6 1.458E+03 1.607E+05 8.544E-05 1.231E-03 0.000E+00 0.000E+00 5.103E-02
3 7 1.294E+03 2.199E+09 1.841E-01 2.353E+00 0.000E+00 0.000E+00 0.000E+00
3 8 1.292E+03 5.537E+08 1.386E-01 1.768E+00 0.000E+00 0.000E+00 5.395E-02
3 9 1.288E+03 5.585E+08 2.315E-01 2.945E+00 0.000E+00 0.000E+00 3.147E-04
3 10 1.091E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.110E-03
3 11 1.091E+03 2.217E+09 6.599E-01 7.112E+00 0.000E+00 0.000E+00 9.946E-02
3 12 1.091E+03 1.233E+09 2.201E-01 2.372E+00 0.000E+00 0.000E+00 8.249E-03
3 13 9.996E+02 7.929E+08 1.188E-01 1.173E+00 0.000E+00 0.000E+00 2.886E-02
3 14 9.752E+02 1.636E+05 7.773E-06 7.486E-05 0.000E+00 0.000E+00 0.000E+00
3 15 9.217E+02 8.304E+04 3.526E-06 3.210E-05 0.000E+00 0.000E+00 0.000E+00
3 16 8.402E+02 1.725E+05 3.043E-05 2.525E-04 0.000E+00 0.000E+00 1.048E-02
3 17 8.218E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.362E-02 0.000E+00
3 18 8.216E+02 0.000E+00 0.000E+00 0.000E+00 5.407E+03 1.887E-04 0.000E+00
3 19 8.211E+02 0.000E+00 0.000E+00 0.000E+00 9.726E+03 2.551E-02 0.000E+00
3 20 8.091E+02 0.000E+00 0.000E+00 0.000E+00 6.261E+00 1.426E-02 0.000E+00
3 21 6.876E+02 0.000E+00 0.000E+00 0.000E+00 4.706E+04 9.602E-06 0.000E+00
3 22 6.872E+02 0.000E+00 0.000E+00 0.000E+00 6.806E+04 0.000E+00 0.000E+00
3 24 6.749E+02 4.556E+06 3.111E-04 2.074E-03 0.000E+00 0.000E+00 7.369E-04
3 25 6.749E+02 8.281E+06 9.426E-04 6.283E-03 0.000E+00 0.000E+00 1.382E-03
3 26 6.749E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.399E-05
3 27 6.615E+02 0.000E+00 0.000E+00 0.000E+00 8.745E+00 0.000E+00 0.000E+00
3 28 6.595E+02 0.000E+00 0.000E+00 0.000E+00 4.490E+00 5.039E-04 0.000E+00
3 29 6.517E+02 5.376E+04 5.706E-06 3.673E-05 0.000E+00 0.000E+00 3.632E-05
3 30 6.387E+02 0.000E+00 0.000E+00 0.000E+00 5.811E+03 4.067E-07 0.000E+00
3 31 6.386E+02 0.000E+00 0.000E+00 0.000E+00 7.783E+03 0.000E+00 0.000E+00
3 33 6.086E+02 0.000E+00 0.000E+00 0.000E+00 3.058E+04 2.249E-03 0.000E+00
3 34 6.081E+02 0.000E+00 0.000E+00 0.000E+00 2.024E+04 2.065E-05 0.000E+00
3 35 6.078E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.846E-03 0.000E+00
3 36 6.028E+02 0.000E+00 0.000E+00 0.000E+00 4.138E+04 1.296E-03 0.000E+00
3 37 6.026E+02 0.000E+00 0.000E+00 0.000E+00 3.114E+03 5.226E-05 0.000E+00
3 38 6.025E+02 0.000E+00 0.000E+00 0.000E+00 2.013E+04 0.000E+00 0.000E+00
3 39 5.792E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.231E-07 0.000E+00
3 40 5.788E+02 0.000E+00 0.000E+00 0.000E+00 2.918E+02 6.947E-05 0.000E+00
3 41 5.778E+02 0.000E+00 0.000E+00 0.000E+00 4.933E+02 6.640E-04 0.000E+00
3 42 5.632E+02 0.000E+00 0.000E+00 0.000E+00 1.833E-03 4.131E-04 0.000E+00
3 43 5.303E+02 0.000E+00 0.000E+00 0.000E+00 1.874E-01 0.000E+00 0.000E+00
3 44 5.301E+02 0.000E+00 0.000E+00 0.000E+00 2.427E-01 1.708E-03 0.000E+00
3 45 5.298E+02 1.338E+06 5.628E-05 2.945E-04 0.000E+00 0.000E+00 8.726E-03
3 46 5.249E+02 6.954E+07 2.873E-03 1.489E-02 0.000E+00 0.000E+00 1.208E-02
3 47 5.245E+02 1.310E+08 9.007E-03 4.665E-02 0.000E+00 0.000E+00 1.269E-02
3 48 5.238E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.660E-02
3 49 5.155E+02 1.424E+08 1.891E-03 9.627E-03 0.000E+00 0.000E+00 0.000E+00
3 50 5.153E+02 4.475E+07 1.781E-03 9.064E-03 0.000E+00 0.000E+00 2.315E-02
3 51 5.148E+02 3.083E+07 2.041E-03 1.038E-02 0.000E+00 0.000E+00 8.004E-05
3 52 5.121E+02 2.855E+07 1.122E-03 5.677E-03 0.000E+00 0.000E+00 2.816E-03
3 53 5.020E+02 1.048E+05 6.598E-06 3.271E-05 0.000E+00 0.000E+00 4.510E-02
3 54 4.803E+02 2.534E+02 2.921E-09 1.386E-08 0.000E+00 0.000E+00 0.000E+00
3 55 4.616E+02 0.000E+00 0.000E+00 0.000E+00 1.973E+01 9.343E-05 0.000E+00
3 56 4.599E+02 0.000E+00 0.000E+00 0.000E+00 5.086E+02 4.271E-08 0.000E+00
3 57 4.596E+02 0.000E+00 0.000E+00 0.000E+00 1.008E+03 0.000E+00 0.000E+00
3 59 4.577E+02 0.000E+00 0.000E+00 0.000E+00 1.175E+03 1.778E-04 0.000E+00
3 60 4.575E+02 0.000E+00 0.000E+00 0.000E+00 1.886E+02 1.758E-07 0.000E+00
3 61 4.574E+02 0.000E+00 0.000E+00 0.000E+00 3.631E+02 0.000E+00 0.000E+00
3 62 4.525E+02 0.000E+00 0.000E+00 0.000E+00 2.032E+01 8.239E-04 0.000E+00
3 63 4.522E+02 0.000E+00 0.000E+00 0.000E+00 1.993E+01 1.058E-06 0.000E+00
3 64 4.521E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.868E-04 0.000E+00
3 66 4.517E+02 1.226E+01 6.250E-10 2.788E-09 0.000E+00 0.000E+00 7.774E-03
3 67 4.517E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.137E-02
3 69 4.500E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.802E-05
3 70 4.471E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.990E-05
3 73 4.438E+02 0.000E+00 0.000E+00 0.000E+00 3.674E-01 0.000E+00 0.000E+00
3 74 4.426E+02 2.257E+02 1.105E-08 4.829E-08 0.000E+00 0.000E+00 2.347E-03
3 75 4.419E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.548E-05
3 76 4.416E+02 2.210E+04 1.077E-06 4.697E-06 0.000E+00 0.000E+00 1.890E-04
3 77 4.415E+02 1.324E+04 3.870E-07 1.687E-06 0.000E+00 0.000E+00 6.701E-05
3 78 4.345E+02 0.000E+00 0.000E+00 0.000E+00 9.759E-03 1.575E-03 0.000E+00
3 79 4.105E+02 1.403E+02 5.907E-09 2.395E-08 0.000E+00 0.000E+00 1.696E-02
3 80 4.105E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.420E-02
3 82 3.985E+02 1.966E+05 1.560E-06 6.141E-06 0.000E+00 0.000E+00 0.000E+00
3 83 3.985E+02 5.737E+04 1.366E-06 5.377E-06 0.000E+00 0.000E+00 1.234E-03
3 84 3.985E+02 6.358E+04 2.523E-06 9.931E-06 0.000E+00 0.000E+00 2.834E-03
3 85 3.945E+02 3.444E+03 1.339E-07 5.218E-07 0.000E+00 0.000E+00 1.168E-02
3 87 3.842E+02 1.161E+04 2.569E-07 9.749E-07 0.000E+00 0.000E+00 2.242E-04
3 88 3.842E+02 1.845E+04 6.806E-07 2.583E-06 0.000E+00 0.000E+00 4.152E-05
3 89 3.842E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.709E-05
3 90 3.761E+02 6.058E+02 2.141E-08 7.954E-08 0.000E+00 0.000E+00 4.521E-03
3 91 3.672E+02 5.579E+03 3.759E-08 1.363E-07 0.000E+00 0.000E+00 0.000E+00
3 92 3.606E+02 0.000E+00 0.000E+00 0.000E+00 1.269E-01 3.020E-04 0.000E+00
3 93 3.585E+02 0.000E+00 0.000E+00 0.000E+00 1.288E+02 1.015E-03 0.000E+00
3 94 3.585E+02 0.000E+00 0.000E+00 0.000E+00 1.106E+01 3.086E-06 0.000E+00
3 95 3.584E+02 0.000E+00 0.000E+00 0.000E+00 6.487E+01 0.000E+00 0.000E+00
3 96 3.574E+02 0.000E+00 0.000E+00 0.000E+00 8.014E+01 1.800E-10 0.000E+00
3 97 3.573E+02 0.000E+00 0.000E+00 0.000E+00 1.051E+02 0.000E+00 0.000E+00
3 99 3.526E+02 0.000E+00 0.000E+00 0.000E+00 2.149E+02 3.405E-04 0.000E+00
3 100 3.526E+02 0.000E+00 0.000E+00 0.000E+00 1.214E+02 4.354E-07 0.000E+00
3 101 3.525E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.881E-04 0.000E+00
3 102 3.495E+02 0.000E+00 0.000E+00 0.000E+00 1.431E-01 0.000E+00 0.000E+00
